ra	dec	z	M_g	sector_completeness	nz	radial_weight	fiber_coll_weight	fogtmain	ilss	icomb	sector
      56.1604523760717598      -0.2213597724618915      0.4501842     -22.0970516204833984      0.9943343      0.3108590      1.7112147       1.0000000000000000      0.9901478       32763       33480         784
      58.2478448590140943       0.2163290046718775      0.3671646     -21.8688602447509766      0.9533011      0.7922078      0.9208817       1.0000000000000000      0.9506173      303471      311902        3790
      54.4453809280377072       0.6199742187250149      0.4133244     -21.7306137084960938      1.0000000      0.4315305      1.4082278       1.0000000000000000      0.9183673       43630       44552         779
      54.4879828914613427       0.4858256514572479      0.3224697     -21.8775806427001953      1.0000000      0.9240486      0.8174705       1.0000000000000000      0.9183673       43622       44544         779
      54.4932987630995740       0.4832497929508207      0.3226457     -21.6763000488281250      1.0000000      0.9249313      0.8168564       1.0000000000000000      0.9183673       43622       44544         779
      55.5558858447571424       0.5824416861316503      0.2334688     -21.5131568908691406      0.9943343      1.0009493      0.7672175       1.0000000000000000      0.9901478       43723       44650         784
      55.5686146471174425       0.6082774124713820      0.3136448     -21.5073776245117188      0.9943343      0.8425107      0.8784812       1.0000000000000000      0.9901478       43727       44654         784
      55.5972002796989955       0.4340264347038157      0.3517163     -21.5829257965087891      0.9943343      0.8903325      0.8416406       1.0000000000000000      0.9901478       43731       44658         784
      55.7617273511221470       0.4953153304717623      0.4032080     -21.3501148223876953      0.9943343      0.4957986      1.2868758       1.0000000000000000      0.9901478       43740       44667         784
      55.8125115923832027       0.5210420733188240      0.3769101     -21.6775398254394531      0.9943343      0.6858334      1.0255566       1.0000000000000000      0.9901478       43740       44667         784
      55.8708512644458324       0.4936998959150331      0.1687145     -21.8485393524169922      0.9943343      1.2710534      0.6309773       1.0000000000000000      0.9901478       43758       44685         784
      55.9253375485252491       0.4844726932587441      0.3016530     -21.6679115295410156      0.9943343      0.8153661      0.9008641       1.0000000000000000      0.9901478       43758       44685         784
      55.9661933376571596       0.4847136791824836      0.4634054     -21.9390258789062500      0.9943343      0.2473975      1.9295435       1.0000000000000000      0.9901478       43758       44685         784
      56.2457243148011230       0.4861084277208889      0.3950527     -21.2547626495361328      0.9943343      0.5454945      1.2064824       1.0000000000000000      0.9901478       43783       44712         784
      56.8138087680022750       0.5174547867240745      0.3544454     -21.9991836547851562      0.9533011      0.8757048      0.8525771       1.0000000000000000      0.9506173      303501      311932        3790
      57.1529118948452606       0.4925097189382666      0.2933003     -22.0903129577636719      0.9533011      0.7905881      0.9223151       1.0000000000000000      0.9506173      303521      311952        3790
      57.1576737335499274       0.4833908381465138      0.2941686     -21.6931724548339844      0.9533011      0.7947428      0.9186473       1.0000000000000000      0.9506173      303523      311954        3790
      57.1781271984326622       0.4871823646506259      0.3046947     -21.6790351867675781      0.9533011      0.8096204      0.9057490       1.0000000000000000      0.9506173      303523      311954        3790
      57.2750927787660657       0.5229404929242816      0.2936495     -21.7871208190917969      0.9533011      0.7922428      0.9208508       1.0000000000000000      0.9506173      303531      311963        3790
      57.7095735515035813       0.6051417230706985      0.4102357     -21.6911697387695312      0.9533011      0.4495722      1.3719101       1.0000000000000000      0.9506173      303552      311984        3790
      57.8955663242610399       0.4536954318978087      0.2467708     -21.9391002655029297      0.9533011      0.9109539      0.8266910       1.0000000000000000      0.9506173      303559      311991        3790
      57.9124159220582442       0.5607824995293131      0.4077803     -21.9077110290527344      0.9533011      0.4653654      1.3416222       1.0000000000000000      0.9506173      303570      312002        3790
      58.0717948639166366       0.6233603041419218      0.3219018     -21.9265766143798828      0.9533011      0.9210770      0.8195449       1.0000000000000000      0.9506173      303577      312009        3790
      58.1510100903047942       0.6348235208564985      0.4127786     -22.0739955902099609      0.9533011      0.4344799      1.4021597       1.0000000000000000      0.9506173      303711      312149        3790
      36.5998767252960420       1.0112538952886589      0.3981619     -22.0454864501953125      1.0000000      0.5265289      1.2359490       1.0000000000000000      0.9846154       48878       49901         723
      36.6054953925278141       0.9771170028466885      0.3630700     -21.9678382873535156      1.0000000      0.8321107      0.8869241       1.0000000000000000      0.9846154       48875       49898         723
      36.6716032056293670       0.9851654330171565      0.3968229     -21.9316940307617188      1.0000000      0.5346358      1.2231791       1.0000000000000000      0.9846154       48875       49898         723
      36.9366751637837183       0.9889082405960763      0.3966126     -21.7982902526855469      1.0000000      0.5359155      1.2211875       1.0000000000000000      0.9615384       48899       49922         720
      37.1056517986557424       0.8716105616866499      0.1823474     -21.8115062713623047      1.0000000      1.2366031      0.6455994       1.0000000000000000      0.9615384       48906       49929         720
      37.4098266365520544       0.9261069137167525      0.2991391     -21.5631198883056641      1.0000000      0.8160431      0.9002920       1.0000000000000000      0.9941860       48931       49957         731
      37.7887615326969808       0.9510270151183595      0.2471207     -21.5177574157714844      1.0000000      0.9096221      0.8276405       1.0000000000000000      0.9941860       48953       49979         731
      38.8269584380599895       0.8603340824379072      0.2599173     -21.6320209503173828      0.9830508      0.8265839      0.8914773       1.0000000000000000      0.9878049       49022       50048         728
      39.3500346096966496       1.0201166069583165      0.3837868     -21.8702411651611328      0.9950000      0.6198527      1.1033478       1.0000000000000000      0.9844961       49048       50074         739
      39.9768149640083834       0.8910110554448746      0.3531980     -21.3104896545410156      0.9950000      0.8816194      0.8481209       1.0000000000000000      0.9844961       49052       50078         739
      39.9314824369375856       0.9669256409041791      0.2956694     -21.5335922241210938      0.9950000      0.8020124      0.9122992       1.0000000000000000      0.9844961       49052       50078         739
